Titre,Category,Modifier
TRANSFER IN,115,
MONOP'STATION S9301151,75,
TRANSFER OUT,115,
DIRECT_DEBIT OUT,115,
MONOPRIX,75,
RELAIS GARIBALDI,5,
GENY COURSES,115,
A2PAS,75,
LES VICTOIRES,77,
AMZN Mktp FR,61,
CE ILE DE FRANCE,115,
ITUNES.COM/BILL,31,
GROUPEMENT PARI MUT 00,115,
LA BANQUE POSTAL,115,
RATP,10,
APPLE.COM/BILL,31,
CARD IN,115,
GIE PMU GUICHET,115,
UBER TRIP HELP.UBER.CO,145,
Wix.com,31,
SNCF,4,
LCL,115,
SNCF OUIGO,4,
KEOLIS ORLEANS,10,
SAS CAPSUD EXMPLOITATI,75,
Amazon.fr,61,
FEES,55,
SOCIETE GENERALE,115,
UBER EATS HELP.UBER.CO,72,37
TOTAL,5,
*BNP,115,
LE BALTO,37,
REALISAPRINT COM,67,
BP ANTIBES,5,
CARREFOUR MARKET,75,
BIO C'BON ASNIE,75,36
BP PONT PASTEUR,5,
ASIA FRERES,75,
Kapten,145,
UBER   *EATS,72,37
SHOWROOMPR 225,34,
SNCF INTERNET,4,
UBER   *TRIP,145,
ESCOTA,8,
NAVIGO,10,
Amazon Prime FR,31,
AUCHAN OLIVET,75,
CE RHONE ALPES,115,
DELICES ET GOURMAND,77,
E.LECLERC,75,
GEANT     CG235,75,
ORANGE FACT 74,30,
RELAIS RACLET,5,
CANAL SAT,31,
CARREFOUR CITY,75,
GOOGLE  Google Storage,31,
LE PAIN D'OR,77,
ORANGE BANK,115,
CARREFOUR TPE,75,
INTERMARCHE,75,
LIM*RIDE COST,147,
MONOP,75,
NETFLIX COM,31,
OUIBUS,11,
PATAPAIN 668 SC,77,
PICARD SA 500,75,
RELAY 326231SC,33,
SM CASINO CS130,75,
ESCOTA VINCI,8,
MAGASIN NICOLAS,77,
PHARMACIE BOUSSI,86,
WIFI BOUYGTEL,30,
AUCHAN CARBURANT,5,
CARREFOURCITY,75,
E D F,17,
KIABI ARGENTEUIL,34,
BEST FOOD LYON,73,
DELIVEROO.FR,72,37
Dott,147,
LE TERMINUS,71,
Lebara,30,
NESPRESSO FRANC,77,
PHARMACIE DE LA,86,
REL.LYON BERLIET,5,
YVES ROCHER,40,
BlaBlaCar BlaBlaCar,146,
BP LYON CROIX RO,5,
BP VILLEURBANNE,5,
CARREFOURMARKET,75,
CIVETTE MARCHE,37,
COFIROUTE,8,
Flixbus,11,
INDIGO,9,
INTERMARCHE EXPR,75,
LE CAFE JARDIN,71,
LE HAVANE,71,
NICOLAS 7174,77,
OVH,31,
TABLE DES INDES,73,
AUCHAN SUPER SC,75,
AVIA STATION SER,5,
BAR TABAC O KFE,71,
BIOTYFULL,40,
BOUYGTEL SVI,30,
BP VILLEURBANNES,5,
CARREFCITYSCO,75,
CIVETTE REPUBLI,37,
LE BISTRO DE LA SOU,73,
PICARD SURGELES,75,
SM CASINO CS923,75,
TABAC DES TROIS,37,
TABAC L AIGLON,37,
BP COURBEVOIE,5,
BP VILLEURB FACU,5,
BURGER KING,72,
CARREFOUR VILLEN,75,
CIVETTE DE LETO,37,
ESCOTA PISTE,8,
PHARMACIE,86,
RELAIS MULATIERE,5,
VOTRE MARCHE,75,
AGIP 9080 JUAN,5,
AGIP9145,5,
AIRBNB,46,
AUCHAN ORLEANS,75,
BOULANGERIE PATISSE,77,
BRIOCHE DOREE,77,
FNAC.COM,35,
JARDILAND,19,
JENNYFER,34,
KEOLIS TBM DTTT,10,
MC DONALD'S,72,
NORAUTO 124,6,
PHARMACIE PRINCI,86,
RELAIS DE L'ORME,5,
STARBUCKS COFFEE,71,
TOUATI PHARMACIE,86,
TREATWELL,43,
ZALANDO FR,34,
BIO C BON ACACIA,75,36
BIOCOOP,75,36
RELAIS MARIETTON,5,
REL. CAMBARETTE,5,
REL. LA VAUDOIRE,5,
REL.MARECHAL LEC,5,
REL.PONT CLICHY,5,
RELAIS BRON DAUP,5,
RELAIS DE GERLAN,5,
RELAIS DU CEDRE,5,
RELAIS LANCON,5,
RELAIS RIVIERA,5,